Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11
TRUE,n/a,living_together,higher_edu,strongly_disagree,tap_hh,High School,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,more,married,secondary,neither,purchased,High School,Medium Damage Level,"5,001 - 10,000",No land,own_toilet
TRUE,n/a,married,secondary,agree,rainwater,Elementary,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,n/a,married,secondary,agree,purchased,Elementary,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,more,married,none_primary_only,neither,rainwater,Elementary,Medium Damage Level,"<2,500",No land,shared_toilet
FALSE,more,living_together,higher_edu,agree,purchased,Graduate,Low Damage Level,"2,500 - 5,000",1 or less,own_toilet
FALSE,more,single,secondary,agree,hand_pump,Elementary,Medium Damage Level,"<2,500",No land,#N/A
FALSE,less,married,higher_edu,strongly_disagree,purchased,Graduate,Low Damage Level,"5,001 - 10,000",No land,shared_toilet
TRUE,more,married,none_primary_only,strongly_agree,tap_hh,Elementary,Medium Damage Level,"2,500 - 5,000",No land,#N/A
TRUE,more,living_together,higher_edu,agree,tap_hh,High School,Low Damage Level,"2,500 - 5,000",1 or less,own_toilet
FALSE,more,married,none_primary_only,agree,purchased,Elementary,Medium Damage Level,"<2,500",No land,#N/A
FALSE,more,single,none_primary_only,disagree,purchased,Graduate,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,married,higher_edu,strongly_agree,purchased,Graduate,No Damage/Fully Repaired,"5,001 - 10,000",1 or less,own_toilet
TRUE,more,married,secondary,agree,rainwater,Elementary,No Damage/Fully Repaired,"2,500 - 5,000",No land,shared_toilet
FALSE,less,living_together,none_primary_only,agree,tap_hh,Graduate,Low Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,n/a,living_together,higher_edu,agree,purchased,High School,Medium Damage Level,"<2,500",No land,#N/A
FALSE,n/a,living_together,none_primary_only,agree,purchased,High School,Low Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,married,none_primary_only,agree,purchased,Elementary,Medium Damage Level,"<2,500",No land,#N/A
FALSE,more,living_together,none_primary_only,agree,purchased,Graduate,Low Damage Level,"2,500 - 5,000",1 or less,own_toilet
TRUE,more,widowed,secondary,strongly_agree,purchased,Primary,Medium Damage Level,"<2,500",No land,#N/A
TRUE,more,widowed,none_primary_only,neither,rainwater,Graduate,Low Damage Level,"10,001 - 15,000",1 or less,own_toilet
TRUE,more,married,secondary,agree,purchased,High School,Low Damage Level,"<2,500",No land,own_toilet
TRUE,same,married,secondary,neither,river,Graduate,High Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,married,none_primary_only,disagree,purchased,High School,Medium Damage Level,"<2,500",No land,own_toilet
TRUE,more,married,none_primary_only,agree,purchased,High School,No Damage/Fully Repaired,"2,500 - 5,000",No land,own_toilet
TRUE,more,living_together,none_primary_only,agree,well_shallow,Graduate,Low Damage Level,"2,500 - 5,000",1 or less,own_toilet
TRUE,more,married,none_primary_only,disagree,well_shallow,Graduate,Low Damage Level,"2,500 - 5,000",1 or less,shared_toilet
TRUE,more,living_together,none_primary_only,agree,tap_hh,Graduate,Low Damage Level,"5,001 - 10,000",No land,shared_toilet
TRUE,same,living_together,secondary,strongly_disagree,ponds,Elementary,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,more,single,none_primary_only,strongly_agree,purchased,Graduate,High Damage Level,"5,001 - 10,000",No land,own_toilet
TRUE,n/a,married,secondary,agree,tap_communal,Graduate,Low Damage Level,"2,500 - 5,000",1 or less,own_toilet
TRUE,more,married,higher_edu,agree,tap_hh,Graduate,Destroyed/No House,"<2,500",No land,shared_toilet
TRUE,n/a,single,none_primary_only,agree,purchased,Elementary,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,n/a,widowed,none_primary_only,agree,purchased,High School,Low Damage Level,"<2,500",No land,#N/A
TRUE,n/a,living_together,secondary,strongly_agree,hand_pump,Elementary,Medium Damage Level,"<2,500",No land,#N/A
TRUE,n/a,widowed,secondary,strongly_agree,purchased,High School,Medium Damage Level,"2,500 - 5,000",1 or less,own_toilet
TRUE,n/a,widowed,secondary,agree,tap_hh,High School,Low Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,n/a,married,higher_edu,agree,purchased,High School,High Damage Level,"<2,500",No land,own_toilet
TRUE,n/a,married,secondary,strongly_agree,tap_hh,High School,Low Damage Level,"<2,500",1 or less,own_toilet
FALSE,n/a,married,secondary,agree,tap_hh,High School,Medium Damage Level,"<2,500",No land,own_toilet
